timestamp,tx_id,creatorid,activity_name,function_args,endorsers_id,tx_status,readkeys,writekeys,rangekeys,transaction_type,block number,commit order,0
2022-04-12T14:04:24.533Z,7e566546336e101c240bb83d76e7a374ee5d94f50f3702ca9488c68778de0728,Org1MSP,Func1,"[911"",""2""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 2 911,,,RT,100,10103,0
2022-04-12T14:04:24.534Z,b1e13f7594bac5b077e7520520f380d7f0f1cdfd02fef8f60757a8d0b8c12070,Org1MSP,Func1,"[5940"",""1""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 5940,,,RT,100,10106,0
2022-04-12T14:04:24.535Z,6e3a2adce658a394a84f2cec1667ea1d4b35b8b81f2e8e60cb8ec476ad0441da,Org1MSP,Func1,"[3"",""17""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 17 3,,,RT,100,10097,0
2022-04-12T14:04:24.536Z,718f211181b7a4eb91c068d8fd7c0633553c4adb3d09ee1e3abf144d015a5c96,Org1MSP,Func1,"[31"",""1""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 31,,,RT,100,10099,0
2022-04-12T14:04:24.536Z,65d9b06218fec25af2e076dcf5e3156dfec3f9d102b45fcac189a354cf3e2a8d,Org1MSP,Func7,"[600"",""100"",""16"",""100""]""",Org1MSP Org2MSP ,VALID, 16 600, 16 600,,UT,100,10102,0
2022-04-12T14:04:24.536Z,95055f67375b56a277803b9ce2e5bbd35be098d4d6b0daa132a875b852bac60b,Org1MSP,Func1,"[265"",""1""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 265,,,RT,100,10104,0
2022-04-12T14:04:24.538Z,9fc6c3c2aa29fef560e81f460f87b054c8a7cc7a515603d5a9dd7f3e8a00c917,Org1MSP,Func1,"[383"",""18""]""",Org1MSP Org2MSP ,VALID, 18 383,,,RT,100,10098,0
2022-04-12T14:04:24.538Z,dee4c7db8c014bf97390622b9b2db3e6e4637d155d814acdc8f91ffbd98ef15e,Org1MSP,Func7,"[3"",""100"",""1"",""100""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 3, 1 3,,UT,100,10105,0
2022-04-12T14:04:24.540Z,98c7fb7b2137d72756fe45a7e8b0722f1af1ea97e6ac8e8cbfde4aa5e5162a0e,Org1MSP,Func4,"[12245"",""1224500"",""11333"",""1133300""]""",Org1MSP Org2MSP ,VALID,, 11333 12245,,WT,100,10100,0
2022-04-12T14:04:24.543Z,23496974a3394ef8961624ed45ec5342df331d937d53ffaa9d4c1c73783e8060,Org1MSP,Func1,"[2"",""670""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 2 670,,,RT,100,10101,0
2022-04-12T14:04:24.625Z,2a6c67cae4e7fc48b7ab2e2efe3588bf1bf42bfad5795f90c4ecacb3aa835a16,Org1MSP,Func7,"[85"",""100"",""59"",""100""]""",Org1MSP Org2MSP ,VALID, 59 85, 59 85,,UT,100,10087,0
2022-04-12T14:04:24.627Z,e005032630edce278c4b6003c1dda5425ca84528dc385db00b6fff4082a7f4c4,Org1MSP,Func7,"[1150"",""100"",""92"",""100""]""",Org1MSP Org2MSP ,VALID, 1150 92, 1150 92,,UT,100,10088,0
2022-04-12T14:04:24.627Z,e765f72d8b4ec9823111fd000380f20ee060ebe2599d059185c5a246daebe607,Org1MSP,Func1,"[5"",""9""]""",Org1MSP Org2MSP ,VALID, 5 9,,,RT,100,10089,0
2022-04-12T14:04:24.627Z,1bc9d66494f14c63cb9387d1b69d1a329140a6d1932bb74d7bfb9057b65f4d59,Org1MSP,Func7,"[56"",""100"",""4"",""100""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 4 56, 4 56,,UT,100,10090,0
2022-04-12T14:04:24.629Z,5832e1801a3f27dcb9bfe447c0f5adeec95d01b2ec093751e1d51a3b28cbbf43,Org1MSP,Func1,"[1"",""371""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 371,,,RT,100,10091,0
2022-04-12T14:04:24.630Z,45048e17fe158062f0ce2dbeb6780d6535f7e109b65aaf8066a4dbec796f40f6,Org1MSP,Func1,"[807"",""21""]""",Org1MSP Org2MSP ,VALID, 21 807,,,RT,100,10093,0
2022-04-12T14:04:24.632Z,cd8df834f6cb6bb6e7b993b3ae9844994e3840ce4f72c20d3d6a4740e23623d4,Org1MSP,Func1,"[190"",""2""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 190 2,,,RT,100,10094,0
2022-04-12T14:04:24.633Z,b46a1a2fd041d388413c5b5d67e7a6ebccfcf26d1a9abd34c090aba87352867c,Org1MSP,Func1,"[3"",""3""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 3,,,RT,100,10092,0
2022-04-12T14:04:24.634Z,aa0277a8b72d65773d3a4a2ed2985c545e739c8271f87612569bfdf0efec5199,Org1MSP,Func1,"[129"",""1292""]""",Org1MSP Org2MSP ,VALID, 129 1292,,,RT,100,10095,0
2022-04-12T14:04:24.635Z,04ec3320c5384548a3f2f927e2b35755e73390763deea2e12fe53c019f702976,Org1MSP,Func4,"[10000"",""1000000"",""19244"",""1924400""]""",Org1MSP Org2MSP ,VALID,, 10000 19244,,WT,100,10096,0
2022-04-12T14:04:24.726Z,bd218bf011d5ac54ad21abea63c44bd38b700a23ebd1d8b1e8db36bb588ab3cb,Org1MSP,Func1,"[4"",""1""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 4,,,RT,100,10080,0
2022-04-12T14:04:24.727Z,1864993120c9a5c7cd64fb69702256bd56eb1920388dc34eec00f35752b79420,Org1MSP,Func1,"[2"",""6791""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 2 6791,,,RT,100,10079,0
2022-04-12T14:04:24.727Z,f47ddc40c4d5672013d1e0433633dd86ea9a98f811967a8d795d145a91eb8e17,Org1MSP,Func1,"[7105"",""38""]""",Org1MSP Org2MSP ,VALID, 38 7105,,,RT,100,10081,0
2022-04-12T14:04:24.728Z,40eb415925886dc29bfbf0b8e09ef8869899b037c7286c7f9aa3bd02df73dfee,Org1MSP,Func1,"[73"",""5182""]""",Org1MSP Org2MSP ,VALID, 5182 73,,,RT,100,10077,0
2022-04-12T14:04:24.729Z,075f2ca32b7879317d83519f6c939a4d3f33e037b86d6f1c422f37618330b913,Org1MSP,Func1,"[2"",""1""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 1 2,,,RT,100,10078,0
2022-04-12T14:04:24.729Z,225ba9578d29e2b455f9f7522dad45f73d6cdf01199a8cf6328de10fffc4d948,Org1MSP,Func7,"[129"",""100"",""2"",""100""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 129 2, 129 2,,UT,100,10086,0
2022-04-12T14:04:24.732Z,a8521a8e670b2452876efdd6266ec8d87df10e5887cd96bbd562b286e30be43a,Org1MSP,Func1,"[415"",""4568""]""",Org1MSP Org2MSP ,VALID, 415 4568,,,RT,100,10085,0
2022-04-12T14:04:24.733Z,af1d581b72e1a3157df8875c5f9fb412da52f2ad580f716721cf74e64bde73a4,Org1MSP,Func1,"[3600"",""2520""]""",Org1MSP Org2MSP ,VALID, 2520 3600,,,RT,100,10082,0
2022-04-12T14:04:24.733Z,d714e328dfaafd02a085a37c3aa8864c8b86fd9c452d5a12e9178df46e00a269,Org1MSP,Func1,"[6267"",""6857""]""",Org1MSP Org2MSP ,VALID, 6267 6857,,,RT,100,10084,0
2022-04-12T14:04:24.735Z,0ce6b0be4643aa60472cb00d637eb37bc34483d34837a447fbe01c1752e174b9,Org1MSP,Func1,"[8"",""2""]""",Org1MSP Org2MSP ,MVCC_READ_CONFLICT, 2 8,,,RT,100,10083,0
2022-04-12T14:04:24.826Z,74bb175ea3c27ae3ee55f4b341f5e05edb409486ed0ad0646a24800f450d6995,Org1MSP,Func4,"[12017"",""1201700"",""10027"",""1002700""]""",Org1MSP Org2MSP ,VALID,, 10027 12017,,WT,100,10071,0
2022-04-12T14:04:24.827Z,47fae9f848471156ef015384b42659a7bff87f21e286e4816f2d65202050b4a8,Org1MSP,Func7,"[4618"",""100"",""93"",""100""]""",Org1MSP Org2MSP ,VALID, 4618 93, 4618 93,,UT,100,10068,0
2022-04-12T14:04:24.827Z,1eed71d66e54e299404ae1fb6a09d45ced364b4d7f758872b1a5f8394bbad995,Org1MSP,Func1,"[29"",""1027""]""",Org1MSP Org2MSP ,VALID, 1027 29,,,RT,100,10073,0
2022-04-12T14:04:24.828Z,85ede427f6ba927b2c896c8a48e304903a571bf7a13a78f471e67cab366925b9,Org1MSP,Func1,"[123"",""50""]""",Org1MSP Org2MSP ,VALID, 123 50,,,RT,100,10076,0
2022-04-12T14:04:24.830Z,04950b6e27ebd014de0501e96500cc49945d619a4f850281a4a9e81ed48dc853,Org1MSP,Func4,"[10576"",""1057600"",""10653"",""1065300""]""",Org1MSP Org2MSP ,VALID,, 10576 10653,,WT,100,10075,0
2022-04-12T14:04:24.832Z,9b5d45041db6301a124cff609e753f2496b6a379fd91d5e528c20bc1622cda42,Org1MSP,Func7,"[1473"",""100"",""67"",""100""]""",Org1MSP Org2MSP ,VALID, 1473 67, 1473 67,,UT,100,10069,0
2022-04-12T14:04:24.833Z,04d95729d2c127d70ba53af042ecaa8d3ef1825e5dd3c5848df676e8eae1a04d,Org1MSP,Func1,"[908"",""1032""]""",Org1MSP Org2MSP ,VALID, 1032 908,,,RT,100,10067,0
2022-04-12T14:04:24.833Z,49f90198ff84f843cac384b261b2b3bea7f215450b42d314cc37833c909e4877,Org1MSP,Func4,"[14044"",""1404400"",""10001"",""1000100""]""",Org1MSP Org2MSP ,VALID,, 10001 14044,,WT,100,10070,0
2022-04-12T14:04:24.834Z,563e40e9902d2b78eb9fb210f7ccabe6724c46f69590b1517eb9b0bb8cdea2b0,Org1MSP,Func1,"[16"",""83""]""",Org1MSP Org2MSP ,VALID, 16 83,,,RT,100,10072,0
